,tp,fp,fn,recall,precision,f1,acc
molerats,29.0,3.0,3.0,0.90625,0.90625,0.90625,0.90625
apt17,20.0,0.0,0.0,1.0,1.0,1.0,1.0
lazarus groups,0.0,2.0,0.0,0.0,0.0,0.0,0.0
aapt30,0.0,1.0,0.0,0.0,0.0,0.0,0.0
apt28,261.0,0.0,1.0,0.9961832061068703,1.0,0.9980879541108987,0.9961832061068703
msupdater,0.0,0.0,7.0,0.0,0.0,0.0,0.0
carbanak,257.0,0.0,1.0,0.9961240310077519,1.0,0.9980582524271845,0.9961240310077519
panda group,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cozy duke,0.0,1.0,0.0,0.0,0.0,0.0,0.0
regedt32,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ment group,0.0,1.0,0.0,0.0,0.0,0.0,0.0
apt16,14.0,0.0,0.0,1.0,1.0,1.0,1.0
darkhotels,0.0,1.0,0.0,0.0,0.0,0.0,0.0
chinastrats,0.0,0.0,1.0,0.0,0.0,0.0,0.0
arid viper,0.0,5.0,0.0,0.0,0.0,0.0,0.0
admin@338,68.0,0.0,0.0,1.0,1.0,1.0,1.0
pony loader,0.0,1.0,0.0,0.0,0.0,0.0,0.0
threat group,0.0,1.0,0.0,0.0,0.0,0.0,0.0
threat group-3279,0.0,1.0,0.0,0.0,0.0,0.0,0.0
taidoor1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"panda,",0.0,2.0,0.0,0.0,0.0,0.0,0.0
quedagh/,0.0,2.0,0.0,0.0,0.0,0.0,0.0
dragonok,32.0,0.0,1.0,0.9696969696969697,1.0,0.9846153846153847,0.9696969696969697
pawn storm,109.0,0.0,0.0,1.0,1.0,1.0,1.0
comments crew,0.0,1.0,0.0,0.0,0.0,0.0,0.0
unknown logger,0.0,11.0,0.0,0.0,0.0,0.0,0.0
poisonous panda,0.0,1.0,0.0,0.0,0.0,0.0,0.0
energetic bear,27.0,0.0,1.0,0.9642857142857143,1.0,0.9818181818181818,0.9642857142857143
temper panda,0.0,1.0,0.0,0.0,0.0,0.0,0.0
toxic panda,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tg-0110,2.0,0.0,1.0,0.6666666666666666,1.0,0.8,0.6666666666666666
energetic bear/,0.0,2.0,0.0,0.0,0.0,0.0,0.0
comment group,7.0,0.0,0.0,1.0,1.0,1.0,1.0
pirpi,28.0,0.0,0.0,1.0,1.0,1.0,1.0
sauron,0.0,3.0,0.0,0.0,0.0,0.0,0.0
stone panda10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
samurai panda,0.0,2.0,0.0,0.0,0.0,0.0,0.0
the hangover,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ke3chang,94.0,0.0,0.0,1.0,1.0,1.0,1.0
group 72,14.0,0.0,0.0,1.0,1.0,1.0,1.0
rtm,0.0,0.0,2.0,0.0,0.0,0.0,0.0
suckfly,14.0,0.0,3.0,0.8235294117647058,1.0,0.9032258064516129,0.8235294117647058
black vine,109.0,0.0,1.0,0.990909090909091,1.0,0.995433789954338,0.990909090909091
apt18,26.0,0.0,0.0,1.0,1.0,1.0,1.0
apt29/,0.0,2.0,0.0,0.0,0.0,0.0,0.0
fancy bear,77.0,0.0,0.0,1.0,1.0,1.0,1.0
fancy c2,0.0,3.0,0.0,0.0,0.0,0.0,0.0
comment groups,0.0,1.0,0.0,0.0,0.0,0.0,0.0
waterbug,142.0,0.0,0.0,1.0,1.0,1.0,1.0
apt28、operation,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dukes.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tg-0416,0.0,0.0,1.0,0.0,0.0,0.0,0.0
operation snowman,0.0,1.0,0.0,0.0,0.0,0.0,0.0
of the,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sofacy,187.0,0.0,0.0,1.0,1.0,1.0,1.0
black vine/,0.0,2.0,0.0,0.0,0.0,0.0,0.0
turla,309.0,0.0,0.0,1.0,1.0,1.0,1.0
apt20,0.0,4.0,0.0,0.0,0.0,0.0,0.0
apt3,50.0,0.0,0.0,1.0,1.0,1.0,1.0
molerat,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dukes-,0.0,1.0,0.0,0.0,0.0,0.0,0.0
black ice,0.0,1.0,0.0,0.0,0.0,0.0,0.0
guardians of peace,0.0,0.0,9.0,0.0,0.0,0.0,0.0
gcman,0.0,0.0,2.0,0.0,0.0,0.0,0.0
deep panda/,0.0,2.0,0.0,0.0,0.0,0.0,0.0
apt5,0.0,9.0,0.0,0.0,0.0,0.0,0.0
comment crew[5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
karma panda,0.0,1.0,0.0,0.0,0.0,0.0,0.0
---pittytiger,0.0,1.0,0.0,0.0,0.0,0.0,0.0
t1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lazarus group,239.0,0.0,2.0,0.991701244813278,1.0,0.9958333333333333,0.991701244813278
operation hangover,175.0,0.0,7.0,0.9615384615384616,1.0,0.9803921568627451,0.9615384615384616
apt29,49.0,0.0,2.0,0.9607843137254902,1.0,0.98,0.9607843137254902
numbered panda/,0.0,2.0,0.0,0.0,0.0,0.0,0.0
dukes were,0.0,1.0,0.0,0.0,0.0,0.0,0.0
webmasters,0.0,0.0,2.0,0.0,0.0,0.0,0.0
eration hangover,0.0,1.0,0.0,0.0,0.0,0.0,0.0
apt28-,0.0,1.0,0.0,0.0,0.0,0.0,0.0
apt12,70.0,0.0,0.0,1.0,1.0,1.0,1.0
net crawler,0.0,1.0,0.0,0.0,0.0,0.0,0.0
blackfly,3.0,0.0,2.0,0.6,1.0,0.7499999999999999,0.6
dukes did,0.0,1.0,0.0,0.0,0.0,0.0,0.0
threat group-3279[i,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pitty panda,0.0,4.0,0.0,0.0,0.0,0.0,0.0
to hangover,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sandworm team,4.0,0.0,6.0,0.4,1.0,0.5714285714285715,0.4
screent1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stone panda,12.0,0.0,1.0,0.9230769230769231,1.0,0.9600000000000001,0.9230769230769231
apt2/,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"comment crew,”20",0.0,1.0,0.0,0.0,0.0,0.0,0.0
winnti group,1.0,0.0,9.0,0.1,1.0,0.18181818181818182,0.1
fancy sha256,0.0,3.0,0.0,0.0,0.0,0.0,0.0
dropping elephant,19.0,0.0,0.0,1.0,1.0,1.0,1.0
singing spider,0.0,1.0,0.0,0.0,0.0,0.0,0.0
maverick panda,0.0,1.0,0.0,0.0,0.0,0.0,0.0
the dukes,142.0,0.0,1.0,0.993006993006993,1.0,0.9964912280701755,0.993006993006993
dust storm,36.0,0.0,0.0,1.0,1.0,1.0,1.0
axiom,88.0,0.0,0.0,1.0,1.0,1.0,1.0
apt2,1.0,0.0,0.0,1.0,1.0,1.0,1.0
stealth falcon,15.0,0.0,0.0,1.0,1.0,1.0,1.0
operation molerats,0.0,0.0,3.0,0.0,0.0,0.0,0.0
projectsauron,219.0,0.0,0.0,1.0,1.0,1.0,1.0
emissary panda,8.0,0.0,0.0,1.0,1.0,1.0,1.0
ixeshe/,0.0,2.0,0.0,0.0,0.0,0.0,0.0
/ke3chang,0.0,1.0,0.0,0.0,0.0,0.0,0.0
itsapt30,0.0,1.0,0.0,0.0,0.0,0.0,0.0
naikon,322.0,0.0,0.0,1.0,1.0,1.0,1.0
buckeye,18.0,0.0,6.0,0.75,1.0,0.8571428571428571,0.75
cleaver,158.0,0.0,2.0,0.9875,1.0,0.9937106918238994,0.9875
patchwork,13.0,0.0,3.0,0.8125,1.0,0.896551724137931,0.8125
red storm,0.0,2.0,0.0,0.0,0.0,0.0,0.0
kungfu kittens,0.0,0.0,1.0,0.0,0.0,0.0,0.0
dynamite panda,1.0,0.0,1.0,0.5,1.0,0.6666666666666666,0.5
pawnstorm.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
strontium,15.0,0.0,2.0,0.8823529411764706,1.0,0.9375,0.8823529411764706
comment crew/,0.0,3.0,0.0,0.0,0.0,0.0,0.0
dyncalc,8.0,0.0,4.0,0.6666666666666666,1.0,0.8,0.6666666666666666
apt10,1.0,0.0,0.0,1.0,1.0,1.0,1.0
night dragon9,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cleaver;,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tsar team,8.0,0.0,0.0,1.0,1.0,1.0,1.0
night dragon,93.0,0.0,0.0,1.0,1.0,1.0,1.0
group-3390,0.0,1.0,0.0,0.0,0.0,0.0,0.0
darkhotel,60.0,0.0,4.0,0.9375,1.0,0.967741935483871,0.9375
putter panda,52.0,0.0,0.0,1.0,1.0,1.0,1.0
boulder bear,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pawn storm3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
moafee,25.0,0.0,0.0,1.0,1.0,1.0,1.0
dukes group,0.0,1.0,0.0,0.0,0.0,0.0,0.0
putter panda,0.0,1.0,0.0,0.0,0.0,0.0,0.0
goblin panda,0.0,1.0,0.0,0.0,0.0,0.0,0.0
monsoon,76.0,0.0,0.0,1.0,1.0,1.0,1.0
ixeshe,141.0,0.0,0.0,1.0,1.0,1.0,1.0
apt12′s,0.0,1.0,0.0,0.0,0.0,0.0,0.0
taidoor-,0.0,1.0,0.0,0.0,0.0,0.0,0.0
gothic panda,8.0,0.0,2.0,0.8,1.0,0.888888888888889,0.8
poseidon group,16.0,0.0,0.0,1.0,1.0,1.0,1.0
sofacy1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
taidoor,163.0,0.0,2.0,0.9878787878787879,1.0,0.9939024390243903,0.9878787878787879
fancy bear/,0.0,2.0,0.0,0.0,0.0,0.0,0.0
comment panda,11.0,0.0,0.0,1.0,1.0,1.0,1.0
dagger panda,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tsar team/,0.0,2.0,0.0,0.0,0.0,0.0,0.0
numbered panda,18.0,0.0,1.0,0.9473684210526315,1.0,0.972972972972973,0.9473684210526315
apt30,211.0,0.0,0.0,1.0,1.0,1.0,1.0
black dragon,0.0,1.0,0.0,0.0,0.0,0.0,0.0
putter panda[6,0.0,1.0,0.0,0.0,0.0,0.0,0.0
group,0.0,2.0,0.0,0.0,0.0,0.0,0.0
cozy bear,14.0,0.0,0.0,1.0,1.0,1.0,1.0
gaza cybergang,13.0,0.0,1.0,0.9285714285714286,1.0,0.962962962962963,0.9285714285714286
dukes arsenal,0.0,1.0,0.0,0.0,0.0,0.0,0.0
threat group-3390,1.0,0.0,3.0,0.25,1.0,0.4,0.25
equation,145.0,0.0,2.0,0.9863945578231292,1.0,0.9931506849315068,0.9863945578231292
onion dog,0.0,1.0,0.0,0.0,0.0,0.0,0.0
quedagh,47.0,0.0,0.0,1.0,1.0,1.0,1.0
the dukes,0.0,2.0,0.0,0.0,0.0,0.0,0.0
aspxtool,0.0,3.0,0.0,0.0,0.0,0.0,0.0
dragonfly,44.0,0.0,2.0,0.9565217391304348,1.0,0.9777777777777777,0.9565217391304348
emissary and,0.0,1.0,0.0,0.0,0.0,0.0,0.0
group5,163.0,0.0,0.0,1.0,1.0,1.0,1.0
apt1,558.0,0.0,2.0,0.9964285714285714,1.0,0.998211091234347,0.9964285714285714
strider,14.0,0.0,0.0,1.0,1.0,1.0,1.0
曝光的方程式组织（equation,0.0,1.0,0.0,0.0,0.0,0.0,0.0
putter panda/,0.0,4.0,0.0,0.0,0.0,0.0,0.0
tg-3390,177.0,0.0,0.0,1.0,1.0,1.0,1.0
the bear,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lotus blossom,95.0,0.0,2.0,0.979381443298969,1.0,0.9895833333333333,0.979381443298969
turla/,0.0,2.0,0.0,0.0,0.0,0.0,0.0
deep panda,189.0,0.0,0.0,1.0,1.0,1.0,1.0
sednit,393.0,0.0,6.0,0.9849624060150376,1.0,0.9924242424242424,0.9849624060150376
duke group,0.0,2.0,0.0,0.0,0.0,0.0,0.0
venomous bear,0.0,1.0,0.0,0.0,0.0,0.0,0.0
menupass,240.0,0.0,2.0,0.9917355371900827,1.0,0.995850622406639,0.9917355371900827
group1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pale panda,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dukes first,0.0,1.0,0.0,0.0,0.0,0.0,0.0
taikonauts,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ups team,0.0,0.0,1.0,0.0,0.0,0.0,0.0
night dragon10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
oilrig,0.0,0.0,7.0,0.0,0.0,0.0,0.0
pitty tiger,0.0,2.0,0.0,0.0,0.0,0.0,0.0
pinkpanther,0.0,0.0,1.0,0.0,0.0,0.0,0.0
apt29’,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pittytiger,50.0,0.0,1.0,0.9803921568627451,1.0,0.99009900990099,0.9803921568627451
week serge,0.0,1.0,0.0,0.0,0.0,0.0,0.0
night dragon2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
anunak,17.0,0.0,0.0,1.0,1.0,1.0,1.0
scarlet mimic,69.0,0.0,0.0,1.0,1.0,1.0,1.0
desert storm,0.0,3.0,0.0,0.0,0.0,0.0,0.0
big hangover,0.0,1.0,0.0,0.0,0.0,0.0,0.0
axiom/,0.0,2.0,0.0,0.0,0.0,0.0,0.0
comment crew,44.0,0.0,0.0,1.0,1.0,1.0,1.0
